output,input,translated
"흉부 X선 촬영 결과, 우측 폐첨부에서 미세한 불투명도가 확인되었으며, 국소적인 흉막 비후를 시사하는 명확한 폐첨부 모자를 보여주었으며, 이는 기저 폐 병리를 배제하기 위해 컴퓨터 단층 촬영으로 추가 조사를 요하는 소견이었습니다.","The chest radiograph revealed a subtle opacity in the right lung apex, demonstrating a well-defined apical cap suggestive of localized pleural thickening, a finding that warranted further investigation with computed tomography to rule out underlying pulmonary pathology.",흉부 방사선 촬영에서 우측 폐 상엽에 미묘한 연체가 나타나고 있어 국소성 흉막 두꺼워짐을 시사하는 잘 정의된 상엽数상이 관찰되었으며 이는 기저 폐병증 배제를 위해 컴퓨터 단층촬영으로 추가 조사가 필요함을 보여주었다.
"흉부 CT 스캔에서 섬유화 및 견인성 기관지확장증 부위와 함께 상당한 폐구조 뒤틀림이 확인되었으며, 이는 환자의 제한성 폐 질환에 기여할 가능성이 있는 만성 염증 과정을 시사합니다.","The chest CT scan revealed significant (lung) architectural distortion, with areas of fibrosis and traction bronchiectasis, indicating a chronic inflammatory process likely contributing to the patient's restrictive lung disease.",흉부 CT 스캔에서 유의미한 폐 구조 변형이 관찰되었으며 섬유증과 인장 기관지 확장을 보였는데 이는 만성 염증 과정으로 환자의 제한적인 폐 질환에 기여할 가능성이 있다.
"흉부 엑스레이 검사 결과, 좌측 하엽에 광범위한 무기폐가 확인되었으며, 이는 기관지 폐색에 이차적으로 발생한 것으로 추정되며 즉각적인 호흡 보조 및 근본 원인을 규명하기 위한 추가적인 조사가 필요합니다.","The chest X-ray revealed extensive atelectasis in the left lower lobe, likely secondary to bronchial obstruction and requiring immediate respiratory support and further investigation to determine the underlying cause.",흉부 엑스레이에서 좌측 하엽에 광범위한 폐기종이 나타났으며 기관지폐쇄로 인해 발생했을 가능성이 높아 즉각적인 호흡 지원과 추가 조사가 필요하며 근본 원인을 파악하기 위해 더 조사해야 한다.
영상의학과 전문의는 CT 스캔을 검토하면서 복부 장기의 상세한 단면도를 제공하고 잠재적인 종괴를 식별하는 데 도움이 되는 축상면에 주의를 기울였습니다.,"The radiologist reviewed the CT scan, paying close attention to the axial view, which provided a detailed cross-sectional representation of the abdominal organs and helped to identify a potential mass.",방사선 전문의가 복부 장기의 세부 단면을 제공하고 잠재적 종괴를 식별하는 데 도움이 되는 축상 관점에 집중하여 CT 스캔을 검토했다.
"영상의학과 전문의는 기정맥식도 오목부위 내에서 미세한 불투명도를 발견했으며, 이러한 소견에 기여할 수 있는 종격동 림프절병증 또는 식도 병리를 배제하기 위해 추가적인 조사를 진행했습니다.","The radiologist noted a subtle opacity within the azygoesophageal recess, prompting further investigation to rule out any mediastinal lymphadenopathy or esophageal pathology that could contribute to the finding.",방사선 의사는 비장의 폐색소증 또는 식도 병리학을 배제하기 위해 발견에 기여할 수 있는 어떠한 중격 림프절병증이나 식도 질환까지 추가 조사를 촉구하는 방광 내부에서 미묘하게 불투명성이 관찰되었다고 주목했다.
"흉부 X선 검사에서 드물게 발견되는 해부학적 변이인 기정맥열이 우연히 발견되었으며, 때로는 폐 병변으로 오인될 수 있지만, 환자는 무증상이었고 추가적인 영상 검사는 필요하지 않은 것으로 판단되었습니다.","The chest X-ray revealed an incidental finding of an azygos fissure, a rare anatomical variant that can sometimes be mistaken for a pulmonary lesion, though the patient was asymptomatic and further imaging was not deemed necessary.",흉부 엑스레이에서 환자가 무증상이었고 추가적인 영상 촬영이 필요하지 않다는 점을 감안할 때 간혹 폐 병변으로 오인될 수 있는 드문 해부학적 변형인 아지구스 분열의 우연한 발견이 밝혀졌다.
"흉부 엑스레이 검사에서 우연히 발견된 기정맥엽은 일반적으로 우측 상엽 내에 위치하며, 비정상적인 폐 조직을 구분 짓는 흉막 열구의 존재로 특징지어졌습니다.","A chest X-ray revealed an incidental finding of an azygous lobe, characterized by the presence of a pleural fissure that demarcates the anomalous lung tissue, typically located within the right upper lobe.",흉부 엑스레이 촬영에서 비정상적인 폐 조직이 있는 흡수성 결절로 특징지어진 비대엽의 우연한 소견을 확인하였다.
"척추 기둥의 오른쪽을 따라 흐르는 기정맥은 흉벽 및 복벽에서 정맥혈을 회수하는 중요한 통로 역할을 하며, 궁극적으로 상대정맥으로 배액되며, 그 해부학적 변이 및 병리는 심장흉부 영상 및 수술에서 중요한 고려 사항입니다.","The azygous vein, coursing along the right side of the vertebral column, serves as a critical conduit for venous return from the thoracic and abdominal walls, ultimately draining into the superior vena cava, and its anatomical variations and pathologies are important considerations in cardiothoracic imaging and surgery.",척추의 오른쪽 측면을 따라 흐르는 비자정맥은 흉부와 복벽에서 정맥 회수를 위한 중요한 경로를 제공하며 결국 상부 대동맥으로 배출되며 심장흉부영상과 수술에 있어서 해부학적 변형 및 병리학이 중요하게 고려된다.
"흉부 CT 스캔에서 염주모양중격징후가 확인되었으며, 이는 림프관 침범 가능성을 시사하며 폐 림프관 암종증과 다른 간질성 폐 질환을 감별하기 위한 추가 조사가 필요함을 나타냅니다.","The chest CT scan revealed the presence of a beaded septum sign, suggesting the possibility of lymphatic involvement and necessitating further investigation to differentiate between pulmonary lymphangitic carcinomatosis and other interstitial lung diseases.",흉부 CT 스캔에서 유리구 세포 징후가 관찰되어 림프관 침범 가능성과 폐림프조직종양증 및 기타 간질성폐 질환의 차별화를 위한 추가 조사가 필요함을 시사하였다.
"수술 과정에서 안과의사는 결막하 소기포를 주의 깊게 배액하였으며, 얇은 벽의 특성과 그 안에 들어 있는 최소한의 액체를 확인하였는데, 이는 자발적인 형성이라기보다는 수술 후 합병증과 일치하는 소견이었습니다.","During the surgical procedure, the ophthalmologist carefully drained the subconjunctival bleb, noting its thin-walled nature and the minimal amount of fluid contained within, which was consistent with a post-operative complication rather than a spontaneous formation.",수술 중 안과 전문의는 주의 깊게 눈꺼풀하위 출혈을 배액하였으며 얇은 벽 구조와 내부에 함유된 최소한의 액체량이 수술 후 합병증보다는 자발적인 형성으로 보이는 것을 관찰하였다.
환자의 기관지에서 관찰된 만성 염증은 기관지샘의 비대로 이어져 과도한 점액 생성을 유발하고 지속적인 기침과 호흡곤란의 원인이 되었습니다.,"The chronic inflammation observed in the patient's bronchial tree led to hypertrophy of the bronchial gland, resulting in excessive mucus production and contributing to the persistent cough and dyspnea.",환자의 기관지 나무에서 관찰된 만성 염증은 기관절의 비대로 이어져 과도한 점액 생성을 초래하며 지속적인 기침과 호흡곤란에 기여하였다.
"만성 기침과 반복적인 호흡기 감염은 점진적인 폐 손상을 초래하고 결국 기관지확장증 진단으로 이어졌으며, 이에 따라 기도 청소 기술과 표적 항생제 치료법에 중점을 둔 포괄적인 치료 계획이 필요하게 되었습니다.","Chronic cough and recurrent respiratory infections, leading to progressive lung damage and the eventual diagnosis of bronchiectasis, necessitated a comprehensive treatment plan focusing on airway clearance techniques and targeted antibiotic therapies.","만성 기침과 반복적인 호흡기 감염으로 인해 진행성 폐 손상 및 결국 기관지 확장증 진단이 필요했으며, 이를 위해 공기가 흐르는 기술 및 표적 항생제 요법을 중점적으로 다루는 포괄적인 치료 계획이 요구되었다."
"세기관지염이라고 불리는 세기관지의 염증은 특히 영유아에서 기도 직경이 작기 때문에 상당한 기류 제한을 유발할 수 있으며, 임상적으로는 쌕쌕거림과 빈호흡과 같은 증상으로 나타날 수 있습니다.","Inflammation of the bronchiole, termed bronchiolitis, can lead to significant airflow limitation, particularly in infants and young children, due to the small diameter of their airways and can manifest clinically with symptoms such as wheezing and tachypnea.",기관지염은 기관지의 작은 직경으로 인해 특히 영아와 어린이에서 중요한 공기의 제한을 초래할 수 있으며 호흡곤란과 빠른 호흠 등의 증상이 임상적으로 나타날 수 있다.
"고해상도 컴퓨터 단층 촬영에서 경미한 기관지 확장과 기관지 주위 비후로 특징지어지는 세기관지확장증을 암시하는 미묘한 소견이 나타났으며, 이는 소기도에 영향을 미치는 기저 만성 염증 과정을 나타낼 수 있습니다.","High-resolution computed tomography revealed subtle findings suggestive of bronchiolectasis, characterized by mild bronchial dilation and peribronchial thickening, which may indicate an underlying chronic inflammatory process affecting the small airways.",고해상도 컴퓨터 단층 촬영에서 경미한 기관지 확장과 기관주위 부종을 특징으로 하는 기관절제증의 소견이 나타났으며 이는 작은 공기구에 영향을 미치는 만성 염증 과정을 암시할 수 있다.
"그 영아는 쌕쌕거림과 빠른 호흡으로 특징지어지는 호흡 곤란을 보였으며, 이는 급성 세기관지염 진단으로 이어져 보조적인 치료와 산소 포화도 수준 모니터링이 필요했습니다.","The infant presented with respiratory distress, characterized by wheezing and rapid breathing, leading to a diagnosis of acute bronchiolitis, requiring supportive care and monitoring of oxygen saturation levels.","아기 환자는 호흡 곤란을 보였는데, 이는 천명과 빠른 호흉으로 특징지어졌으며 급성 기관지염 진단이 필요하며 지지 치료와 산소 포화 수준의 모니터링이 요구된다."
"환자의 흉부 CT 스캔 결과, 좌측 하엽에서 확장되고 점액으로 채워진 기관지로 특징지어지는 기관지류가 발견되었으며, 이는 환자의 만성 기침과 함께 기관지 폐쇄 또는 폐색과 같은 기저 질환을 배제하기 위한 추가적인 조사를 필요로 했습니다.","The patient's chest CT scan revealed a bronchocele in the left lower lobe, characterized by a dilated, mucus-filled bronchus, which, in conjunction with the patient's chronic cough, necessitated further investigation to rule out underlying conditions such as bronchial atresia or obstruction.","환자의 흉부 CT 스캔에서 좌측 하엽에 기관지 확장 및 점액이 가득 찬 기관지를 특징으로 하는 기관절체가 발견되었으며, 이와 함께 만성 기침을 동반하여 기관기 폐쇄나 폐색의 가능성을 배제하기 위해 추가 조사가 필요하였다."
"생검 결과, 기관지 주위를 둘러싼 유상피 세포와 다핵 거대 세포의 응집으로 특징지어지는 기관지중심성 육아종성 염증이 발견되었으며, 이는 잠재적인 과민성 폐렴을 시사합니다.","The biopsy revealed a bronchocentric granulomatous inflammation, characterized by aggregates of epithelioid cells and multinucleated giant cells surrounding the bronchioles, suggesting a potential hypersensitivity pneumonitis.","임상 조직 검사에서 기관지 중심의 육아종성 염증이 확인되었으며, 이는 기질 세포와 다핵 거대세포가 기관지를 둘러싸고 있는 집합체로 특징 지어 있으며 잠재적인 과민성 폐렴을 시사한다."
"환자의 지속적인 기침과 객혈로 인해 흉부 CT 촬영을 실시한 결과, 우측 주 기관지를 막고 있는 기관지결석이 발견되었으며, 증상을 완화하고 무기폐와 같은 추가적인 합병증을 예방하기 위해 기관지 내시경적 제거술이 필요했습니다.","The patient's persistent cough and hemoptysis prompted a chest CT scan, which revealed a broncholith obstructing the right main bronchus, requiring a bronchoscopic intervention for removal to alleviate the symptoms and prevent further complications such as atelectasis.",환자의 지속적인 기침과 혈액성 폐렴으로 인해 흉부 CT 스캔을 시행하여 우측 주요 기관지에 있는 기관절폐를 막아 증상을 완화하고 아테레오시스와 같은 추가 합병증 발생 방지를 위해 기관경적 개입이 필요했다.
"흉부 CT 스캔 결과, 우상엽에서 폐혈류 증가를 시사하고 폐실질 내 잠재적인 염증 또는 감염 과정을 암시하는 현저한 기관지혈관다발 울혈이 발견되었습니다.","The chest CT scan revealed a prominent bronchovascular bundle engorgement in the right upper lobe, indicative of increased pulmonary blood flow and suggesting potential inflammatory or infectious processes within the lung parenchyma.",흉부 CT 스캔에서 우상엽에 두드러진 기관지 혈관 결합의 팽창이 나타나고 있어 폐혈류 증가와 함께 폐실질 내 염증 또는 감염 과정을 암시한다.
흉부 엑스레이에서 좌상엽에 뚜렷한 거품음영이 확인되어 기낭종과 다른 낭성 폐 병변을 구별하기 위한 추가 조사를 실시하게 되었습니다.,"The chest X-ray revealed a distinct bubble lucency in the left upper lobe, prompting further investigation to differentiate between a pneumatocele and other cystic lung lesions.",흉부 엑스레이에서 좌상엽에 명확한 공기 구멍이 나타나 있어 폐 기포 세포와 기타 낭성폐 병변을 감별하기 위해 추가 조사가 필요하다.
"환자는 발등에 크고 팽팽한 기포를 보였으며, 이는 임상적으로 상당한 표피하 액체 축적을 나타내었고, 수포성 유천포창 또는 다른 수포성 질환을 배제하기 위한 추가 조사가 필요했습니다.","The patient presented with a large, tense bulla on the dorsal surface of the foot, clinically indicating a significant subepidermal fluid collection, and further investigation was required to rule out bullous pemphigoid or other vesiculobullous diseases.",환자는 발의 등면에 큰 경직된 수포가 있는 것으로 임상적으로 상당한 표피하 유체 집합을 나타내며 수포성 천자증 또는 기타 소포구질 질환을 배제하기 위해 추가 조사가 필요했다.
"흉부 엑스레이 검사 결과, 특히 상엽에서 다수의 크고 공기로 채워진 공간이 기포성 폐기종과 일치하는 것으로 나타났으며, 이는 환자의 심각한 호흡곤란과 1초간 강제호기량(FEV1) 감소와 상관관계를 보이며 만성 폐쇄성 폐질환(COPD)의 진행된 단계를 강조했습니다.","The chest X-ray revealed multiple large, air-filled spaces consistent with bullous emphysema, particularly in the upper lobes, which correlated with the patient's severe dyspnea and reduced forced expiratory volume in one second (FEV1), highlighting the advanced stage of their chronic obstructive pulmonary disease (COPD).",흉부 엑스레이에서 다발성 폐포기증과 상엽에 특히 나타나는 대량의 공기를 가지는 공간이 관찰되었으며 이는 환자의 심한 호흡곤란 및 1초 강제호산소량(FEV1) 감소를 반영하여 만성폐쇄성폐질환(COPD)의 진행단계를 강조하였다.
"흉부 CT 스캔 결과, 우측 폐 상엽에서 석회화 육아종이 발견되었으며, 이는 결핵 또는 진균성 원인으로 추정되는 과거 염증 과정을 나타내며, 원인을 확인하고 활동성 감염을 배제하기 위한 추가적인 조사가 필요합니다.","The chest CT scan revealed a calcific granuloma in the right upper lobe of the lung, indicating a past inflammatory process, possibly of tuberculous or fungal etiology, requiring further investigation to ascertain the cause and to rule out active infection.",흉부 CT 스캔에서 우상엽 폐의 석회화 육아종을 보였고 이는 과거 염증 과정(결핵 또는 균류 병원성)을 나타내며 원인을 확인하고 활발한 감염을 배제하기 위해 추가 조사가 필요하다.
"흉부 X선 검사 결과, 우측 폐 상엽에 큰 공동이 발견되었으며, 이는 폐농양의 가능성을 시사하거나, 덜 가능성이 있지만 육아종성 질환 과정으로 인한 공동성 병변일 수 있음을 시사했습니다.","The chest X-ray revealed a large cavity in the upper lobe of the right lung, suggestive of a possible pulmonary abscess or, less likely, a cavitary lesion resulting from a granulomatous disease process.",상복부 엑스레이에서 우측 폐 상엽에 큰 구멍이 보이는 것으로 간접적으로는 폐렴 또는 덜 가능하지만 육아종성 질환 과정으로 인한 동공 병변을 시사한다.
"영상 검사 결과, 폐 소엽의 중심부에 주로 영향을 미치는 기종성 변화의 뚜렷한 중심소엽 분포가 확인되었으며, 이는 보다 확산적이거나 말초적인 침범을 보이는 다른 형태의 폐 질환과 이 질환을 구별하는 데 중요한 소견입니다.","The imaging studies revealed a distinct centrilobular distribution of emphysematous changes, predominantly affecting the central portions of the lung lobules, which is a critical finding in differentiating this condition from other forms of pulmonary disease with more diffuse or peripheral involvement.",영상 연구에서 폐의 중심 부분을 주로 침범하는 DISTINCT CENTROLOBULAR 분포를 보이는 기관지염증 변화를 발견했으며 이는 다른 형태의 폐 질환과 더 확산되거나 말단부에 관여되는 경우와 구별하기 위한 중요한 결과이다.
"흉부 고해상도 CT 영상에서 폐 소엽의 중심 영역에서 주로 폐포벽 파괴를 특징으로 하고 주변 실질은 상대적으로 보존된 중심소엽 폐기종을 시사하는 소견이 발견되었으며, 이는 만성 흡연 이력과의 관련성을 시사합니다.","High-resolution CT imaging of the chest revealed findings suggestive of centrilobular emphysema, characterized by the destruction of alveolar walls primarily in the central regions of the pulmonary lobules, with relative sparing of the peripheral parenchyma, indicating a likely association with a history of chronic smoking.",중앙엽성 폐기종의 소견을 보이는 흉부 고해상도 CT 촬영에서 중앙 부위에 주로 알베올 벽 파괴가 특징이며 말초 실질은 상대적으로 절제되어 만성 흡연력과 연관성이 있을 가능성을 나타낸다.
"환자는 좌측 팔로 방사되는 급성 흉부 통증과 호흡곤란을 동반하여 내원하였으며, 심장 또는 폐 원인을 배제하기 위해 심전도 및 흉부 방사선 촬영을 포함한 즉각적인 평가가 필요했습니다.","The patient presented with acute onset chest pain, radiating to the left arm, accompanied by shortness of breath, necessitating immediate evaluation including electrocardiography and chest radiography to rule out cardiac or pulmonary etiologies.",환자는 급성 발병의 흉통을 동반하여 좌측 팔로 방사하며 호흡 곤란이 있어 심전도와 흉부 촬영 등을 포함한 즉시적인 평가가 필요함으로써 심장 또는 폐 기원의 원인을 배제하기 위해 환자가 제기되었다.
